order_id,product_id,quantity,unit_price
O000059,P0038,1,603.0
O000060,P0134,4,6856.48
O000061,P0081,1,924.94
O000061,P0135,1,392.93
O000062,P0147,2,788.67
O000062,P0107,2,1068.82
O000063,P0083,1,1389.29
O000064,P0032,2,4454.86
O000065,P0045,2,629.86
O000066,P0055,3,1410.12
O000066,P0062,3,2540.2
O000067,P0134,3,6831.94
O000067,P0015,1,2093.79
O000068,P0133,2,502.35
O000068,P0013,1,428.62
O000068,P0044,2,1309.26
O000069,P0035,4,404.89
O000070,P0118,2,2629.43
O000070,P0063,1,776.2
O000071,P0147,1,841.02
O000072,P0111,2,1045.94
O000073,P0026,3,698.08
O000073,P0057,2,1321.54
O000074,P0120,2,3601.38
O000074,P0100,1,385.86
O000075,P0052,1,769.13
O000076,P0023,1,954.1
O000077,P0121,1,1819.5
O000077,P0013,4,429.96
O000078,P0124,1,2093.98
O000079,P0033,1,3429.1
O000079,P0116,3,2120.42
O000080,P0025,1,551.52
O000080,P0001,1,4794.2
O000081,P0069,3,1255.11
O000081,P0061,1,2692.94
O000082,P0079,1,4506.35
O000083,P0111,1,1140.56
O000084,P0120,1,4162.85
O000085,P0080,2,541.93
O000086,P0040,1,540.82
O000087,P0077,1,1175.9
O000088,P0039,1,4745.22
O000089,P0072,2,2907.08
O000090,P0110,1,1103.94
O000090,P0126,2,535.94
O000090,P0088,1,1133.56
O000091,P0120,1,3994.55
O000091,P0066,2,1820.51
O000092,P0059,2,2099.39
O000093,P0068,1,1099.98
O000094,P0051,2,817.23
O000095,P0078,2,1351.72
O000096,P0081,4,975.01
O000096,P0114,3,422.72
O000097,P0013,2,469.36
O000097,P0088,3,1207.53
O000098,P0130,1,5248.93
O000098,P0121,1,1878.03
O000099,P0101,1,997.04
O000100,P0051,1,793.58
O000100,P0101,2,1061.88
O000101,P0012,2,1544.94
O000102,P0004,3,391.6
O000103,P0123,2,3703.17
O000104,P0062,1,2367.11
O000105,P0034,1,463.39
O000105,P0014,1,2588.12
O000106,P0033,3,3369.65
O000106,P0035,2,355.74
O000106,P0105,2,1395.27
O000107,P0003,1,531.31
O000108,P0097,1,520.61
O000109,P0072,1,2595.5
O000109,P0105,1,1402.62
O000110,P0010,1,885.21
O000110,P0105,1,1337.26
O000111,P0132,1,2680.6
O000112,P0009,1,872.1
O000113,P0061,1,2616.65
O000114,P0080,1,571.08
O000115,P0068,1,1097.32
O000116,P0063,3,720.13
O000117,P0092,1,382.76
O000118,P0095,1,2723.97
O000119,P0027,1,1283.25
O000119,P0076,2,948.56
O000120,P0014,3,2726.25
O000121,P0073,3,933.14
O000121,P0095,3,2789.42
O000122,P0138,2,1981.73
O000123,P0140,1,621.73
O000124,P0066,2,1618.28
O000125,P0092,1,343.73
O000126,P0001,1,5062.78
O000127,P0051,1,764.67
O000127,P0104,1,499.76
O000128,P0134,1,5914.66
O000128,P0084,1,775.02
O000129,P0045,4,640.36
O000130,P0028,1,2390.14
O000131,P0056,1,2044.32
O000132,P0020,1,1468.6
O000132,P0012,1,1391.83
O000132,P0068,3,1050.77
O000133,P0021,2,1918.59
O000133,P0097,1,543.11
O000134,P0147,1,817.17
O000135,P0014,1,2703.21
O000136,P0084,1,836.78
O000136,P0025,4,552.06
O000137,P0089,1,929.58
O000137,P0134,3,6659.64
O000138,P0118,1,2779.16
O000139,P0135,3,380.07
O000139,P0001,2,4708.97
O000140,P0132,4,2412.69
O000141,P0093,1,2230.81
O000141,P0092,1,365.28
O000142,P0107,2,946.46
O000143,P0107,1,1063.42
O000144,P0135,1,422.03
O000145,P0034,1,420.55
O000146,P0070,2,1904.9
O000147,P0067,2,1440.24
O000147,P0025,3,546.26
O000148,P0113,1,1282.71
O000149,P0003,1,544.95
O000150,P0028,1,2489.64
O000150,P0105,1,1515.89
O000151,P0085,2,908.31
O000151,P0029,1,611.77
O000152,P0127,3,682.63
O000153,P0044,2,1499.05
O000153,P0031,2,467.43
O000154,P0121,1,1883.3
O000154,P0101,1,1087.83
O000154,P0113,3,1320.2
O000155,P0085,2,844.59
O000155,P0121,2,1794.4
O000156,P0115,1,1035.76
O000157,P0137,3,2382.62
O000158,P0106,2,2139.33
O000159,P0116,2,1990.33
O000160,P0017,2,486.38
O000161,P0010,2,813.84
O000161,P0127,1,648.58
O000162,P0150,2,1663.05
O000162,P0116,1,2306.99
O000162,P0029,2,593.05
O000163,P0098,2,3590.28
O000163,P0127,2,737.5
O000164,P0020,1,1451.4
O000165,P0138,1,2215.89
O000166,P0144,1,3125.33
O000166,P0056,2,2205.28
O000167,P0144,1,3328.94
O000167,P0025,1,555.31
O000168,P0086,1,4080.36
O000168,P0023,1,851.26
O000169,P0029,1,611.63
O000169,P0147,1,823.14
O000170,P0141,2,3479.87
O000170,P0133,1,552.94
O000170,P0148,1,896.38
O000171,P0111,2,1109.03
O000172,P0045,3,677.8
O000172,P0090,1,1016.22
O000173,P0098,1,3544.33
O000174,P0115,4,976.13
O000175,P0050,1,1540.24
O000175,P0065,1,263.39
O000175,P0144,1,2945.11
O000176,P0036,1,2098.0
O000176,P0016,1,2119.9
O000177,P0053,3,3495.25
O000178,P0065,2,248.36
O000179,P0091,2,9737.37
O000180,P0102,3,566.18
O000181,P0111,1,1140.12
O000181,P0066,1,1761.96
O000182,P0053,1,3755.62
O000182,P0111,1,1075.36
O000183,P0004,2,429.08
O000184,P0103,1,150.52
O000185,P0035,1,382.79
O000186,P0034,1,475.99
O000186,P0058,1,1611.23
O000187,P0085,3,854.07
O000188,P0011,1,494.59
O000189,P0076,2,895.72
O000189,P0057,1,1241.71
O000190,P0144,1,3173.56
O000190,P0096,1,1440.64
O000191,P0128,1,732.57
O000192,P0053,3,3696.65
O000192,P0043,2,148.34
O000193,P0054,1,2319.39
O000193,P0132,1,2671.49
O000194,P0014,3,2721.64
O000195,P0046,1,2216.1
O000196,P0091,4,9811.22
O000196,P0043,1,167.23
O000197,P0131,2,583.17
O000198,P0031,1,503.48
O000198,P0005,1,1501.83
O000198,P0058,1,1417.16
O000199,P0054,1,2401.81
O000199,P0022,1,876.73
O000200,P0037,1,1012.02
O000200,P0088,1,1143.36
O000201,P0122,1,1229.7
O000202,P0122,2,1130.81
O000203,P0098,2,3734.34
O000204,P0084,1,799.66
O000205,P0138,3,1972.53
O000206,P0129,1,1390.96
O000207,P0005,1,1714.22
O000208,P0074,3,2947.08
O000209,P0122,1,1191.53
O000210,P0060,1,286.96
O000211,P0114,1,471.1
O000211,P0124,3,2079.79
O000212,P0040,1,531.6
O000212,P0033,2,3108.82
O000213,P0113,1,1191.9
O000213,P0106,1,1902.39
O000214,P0024,2,2301.19
O000214,P0015,1,1965.9
O000215,P0045,1,694.99
O000215,P0079,2,4363.51
O000216,P0150,1,1613.68
O000216,P0081,1,997.61
O000217,P0031,1,497.33
O000218,P0017,1,499.08
O000218,P0055,1,1423.75
O000219,P0022,1,900.25
O000220,P0150,1,1607.48
O000221,P0044,1,1363.25
O000222,P0003,3,538.24
O000223,P0061,1,2615.38
O000223,P0146,1,407.98
O000224,P0117,1,3418.37
O000225,P0073,1,912.34
O000226,P0150,1,1521.88
O000226,P0019,1,1002.38
O000227,P0099,2,2827.32
O000228,P0111,3,1085.8
O000228,P0135,1,369.68
O000229,P0124,2,2209.43
O000230,P0001,3,4639.61
O000231,P0099,2,2791.9
O000231,P0106,1,2092.57
O000231,P0144,1,3298.62
O000232,P0007,1,3157.22
O000233,P0087,1,691.56
O000233,P0108,3,3723.37
O000234,P0022,1,860.97
O000235,P0103,1,151.3
O000236,P0138,2,1973.87
O000237,P0003,2,557.61
O000238,P0014,1,2722.42
O000238,P0142,1,2786.35
O000239,P0072,1,2841.19
O000240,P0085,2,865.38
O000241,P0149,4,830.0
O000242,P0021,1,1860.11
O000243,P0045,2,613.11
O000244,P0087,1,734.23
O000244,P0044,1,1474.72
O000245,P0129,1,1584.62
O000245,P0018,3,1248.03
O000246,P0130,2,5325.74
O000246,P0115,3,979.53
O000247,P0099,2,2683.37
O000248,P0057,1,1180.44
O000249,P0051,1,825.29
O000250,P0075,1,2125.47
O000251,P0003,1,600.95
O000252,P0126,1,496.34
O000253,P0056,3,2012.33
O000253,P0109,1,2822.7
O000253,P0148,1,909.8
O000254,P0069,2,1260.99
O000254,P0143,2,2681.52
O000255,P0119,3,1582.97
O000256,P0122,2,1288.71
O000257,P0148,1,959.99
O000258,P0069,4,1382.78
O000258,P0042,1,800.89
O000259,P0001,1,4857.62
O000260,P0104,2,508.19
O000260,P0008,1,2086.3
O000261,P0106,1,2089.97
O000261,P0041,1,760.5
O000262,P0001,3,4878.81
O000263,P0074,2,2654.91
O000264,P0041,3,757.13
O000265,P0148,2,879.65
O000265,P0017,1,505.04
O000266,P0051,1,817.58
O000267,P0090,2,908.27
O000268,P0042,2,838.91
O000269,P0083,3,1424.2
O000269,P0097,1,546.13
O000270,P0085,2,949.01
O000270,P0067,1,1256.91
O000270,P0104,2,554.18
O000270,P0067,1,1331.62
O000271,P0095,1,2714.22
O000272,P0100,3,415.88
O000272,P0129,1,1471.1
O000272,P0008,2,2067.59
O000273,P0114,2,473.18
O000274,P0106,1,2066.09
O000275,P0109,1,2662.94
O000275,P0026,1,801.04
O000276,P0020,3,1323.44
O000277,P0024,1,2029.52
O000278,P0018,2,1199.44
O000279,P0011,1,471.72
O000279,P0030,1,4614.33
O000280,P0133,4,548.2
O000280,P0075,1,2102.26
O000281,P0122,2,1152.35
O000282,P0050,1,1478.59
O000283,P0023,2,921.03
O000283,P0140,1,561.22
O000283,P0149,1,839.14
O000284,P0126,3,535.12
O000285,P0058,1,1614.68
O000285,P0048,1,1602.03
O000286,P0030,1,5226.85
O000287,P0124,1,2295.94
O000288,P0062,1,2478.82
O000289,P0040,4,507.36
O000290,P0019,1,924.93
O000291,P0069,1,1279.96
O000292,P0044,1,1439.35
O000293,P0002,1,2295.0
O000293,P0128,1,721.74
O000294,P0086,1,3833.38
O000295,P0027,1,1391.36
O000296,P0110,3,1236.46
O000297,P0069,2,1323.28
O000297,P0099,2,2574.63
O000298,P0119,1,1788.7
O000299,P0101,2,950.16
O000300,P0081,1,872.63
O000301,P0146,2,424.62
O000301,P0082,1,383.41
O000302,P0080,2,577.53
O000303,P0083,1,1502.65
O000303,P0143,2,2830.85
O000303,P0150,3,1505.17
O000304,P0138,1,2125.35
O000304,P0130,1,4744.58
O000305,P0102,1,523.92
O000305,P0085,1,848.45
O000305,P0147,1,801.18
O000306,P0035,1,395.65
O000307,P0060,1,291.58
O000307,P0041,3,797.21
O000307,P0125,1,3627.32
O000308,P0077,2,1218.67
O000309,P0034,1,473.62
O000310,P0132,2,2542.11
O000311,P0140,2,615.99
O000312,P0118,2,2572.97
O000313,P0134,2,6267.98
O000314,P0042,1,799.95
O000315,P0079,2,4326.5
O000316,P0057,4,1310.92
O000316,P0132,2,2663.78
O000316,P0082,1,409.82
O000317,P0066,3,1772.88
O000318,P0067,1,1283.68
O000318,P0073,2,899.55
O000319,P0122,1,1302.5
O000320,P0047,1,2562.66
O000321,P0105,3,1390.92
O000322,P0055,1,1461.61
O000322,P0005,1,1669.18
O000323,P0049,2,1458.84
O000324,P0042,3,841.22
O000324,P0087,1,671.3
O000324,P0077,2,1284.31
O000324,P0119,1,1595.7
O000325,P0052,1,879.06
O000325,P0078,1,1284.82
O000326,P0089,1,882.98
O000326,P0032,2,4133.73
O000326,P0111,3,1120.3
O000327,P0136,1,2126.23
O000328,P0045,1,626.36
O000329,P0107,2,1092.51
O000330,P0127,1,694.26
O000331,P0113,3,1346.44
O000332,P0140,1,562.45
O000333,P0122,1,1291.65
O000333,P0096,3,1370.53
O000334,P0065,1,230.96
O000335,P0070,1,2165.05
O000335,P0049,4,1459.7
O000335,P0079,1,4623.35
O000335,P0001,1,4901.15
O000336,P0111,1,1131.3
O000337,P0144,1,3126.62
O000337,P0099,2,2550.99
O000338,P0089,3,910.81
O000339,P0073,1,987.19
O000339,P0089,4,934.77
O000340,P0073,1,1030.47
O000341,P0024,1,2048.45
O000341,P0104,1,557.44
O000341,P0130,1,5082.7
O000342,P0019,1,911.73
O000342,P0010,2,811.57
O000342,P0092,1,334.07
O000343,P0018,1,1099.46
O000344,P0058,1,1573.71
O000344,P0069,2,1366.53
O000345,P0100,1,437.23
O000345,P0077,2,1142.85
O000345,P0101,1,1074.08
O000346,P0071,4,340.94
O000346,P0030,1,5045.91
O000346,P0089,1,904.3
O000346,P0011,3,520.76
O000347,P0011,3,480.67
O000347,P0067,1,1411.88
O000348,P0039,1,5342.37
O000349,P0021,1,1986.69
O000350,P0021,2,2038.94
O000351,P0096,1,1452.42
O000351,P0056,1,2113.52
O000352,P0138,3,1941.71
O000352,P0124,1,2364.47
O000353,P0116,1,2112.28
O000354,P0149,3,852.39
O000354,P0089,1,940.52
O000355,P0105,1,1483.98
O000355,P0020,4,1440.29
O000356,P0063,2,730.88
O000357,P0090,1,992.62
O000358,P0064,1,3084.04
O000358,P0036,1,2108.88
O000359,P0094,1,7577.73
O000360,P0075,2,2152.74
O000360,P0091,1,10501.11
O000361,P0006,1,1537.54
O000362,P0017,2,490.0
O000362,P0113,3,1237.94
O000363,P0005,1,1678.98
O000363,P0109,1,2758.9
O000364,P0099,1,2497.06
O000364,P0106,1,2009.5
O000365,P0060,1,290.8
O000365,P0014,1,2496.83
O000366,P0089,1,866.32
O000367,P0038,1,596.36
O000368,P0018,2,1189.81
O000369,P0109,3,3021.55
O000370,P0034,2,471.3
O000371,P0025,1,587.01
O000372,P0048,1,1602.01
O000373,P0121,1,1899.13
O000373,P0041,2,725.98
O000373,P0091,1,10301.26
O000374,P0040,1,531.77
O000374,P0036,3,2406.2
O000375,P0071,1,342.48
O000376,P0149,2,787.25
O000377,P0103,1,142.23
O000378,P0017,2,500.32
O000379,P0086,1,4149.66
O000380,P0011,1,511.43
O000381,P0057,1,1206.86
O000382,P0021,1,1829.87
O000383,P0111,1,1037.68
O000383,P0023,1,916.14
O000384,P0012,1,1539.89
O000384,P0096,1,1266.22
O000385,P0076,1,989.28
O000386,P0060,2,279.07
O000386,P0052,2,880.31
O000387,P0057,1,1157.97
O000388,P0122,1,1242.23
O000388,P0068,1,1034.75
O000389,P0048,2,1475.24
O000390,P0115,2,1109.34
O000391,P0135,1,421.32
O000392,P0065,1,258.15
O000393,P0049,1,1474.62
O000394,P0140,1,563.56
O000394,P0061,2,2479.25
O000395,P0024,1,2160.31
O000396,P0114,1,426.88
O000397,P0113,2,1251.9
O000398,P0051,1,765.7
O000399,P0116,1,2204.06
O000399,P0117,2,3514.71
O000400,P0041,1,732.81
O000400,P0136,1,2201.16
O000401,P0066,2,1818.9
O000401,P0050,2,1558.59
O000402,P0085,2,953.56
O000402,P0100,3,391.49
O000403,P0126,1,531.78
O000404,P0144,3,3224.01
O000405,P0119,2,1770.23
O000406,P0112,1,1813.2
O000406,P0071,1,353.31
O000407,P0092,2,347.6
O000408,P0097,4,553.84
O000409,P0058,3,1404.32
O000409,P0119,1,1638.9
O000410,P0094,2,8673.14
O000411,P0002,1,2403.1
O000411,P0032,1,4091.45
O000412,P0060,1,287.43
O000412,P0038,1,655.46
O000412,P0067,1,1335.16
O000413,P0068,2,998.65
O000413,P0132,3,2617.76
O000413,P0088,2,1246.77
O000414,P0088,1,1104.93
O000415,P0135,1,405.51
O000416,P0096,1,1420.84
O000417,P0115,1,1039.68
O000418,P0095,1,2857.19
O000418,P0027,4,1357.4
O000418,P0134,2,6805.22
O000419,P0118,1,2760.24
O000419,P0071,2,316.14
O000419,P0026,1,770.57
O000420,P0142,1,2930.1
O000421,P0065,1,240.42
O000422,P0102,2,529.51
O000423,P0052,1,788.2
O000423,P0021,2,1908.72
O000424,P0071,3,362.75
O000425,P0129,1,1598.67
O000425,P0009,1,845.46
O000426,P0118,1,2797.53
O000426,P0130,1,4892.36
O000427,P0015,2,2049.12
O000427,P0125,1,3513.98
O000428,P0101,1,1094.25
O000429,P0086,1,4049.44
O000429,P0060,1,287.74
O000429,P0150,1,1594.11
O000430,P0058,4,1599.57
O000430,P0065,3,259.7
O000431,P0138,1,1949.14
O000432,P0110,1,1145.59
O000433,P0150,1,1605.85
O000433,P0115,2,1046.6
O000434,P0121,1,1694.28
O000434,P0028,2,2732.31
O000435,P0116,1,2074.08
O000436,P0149,2,896.68
O000437,P0007,1,3337.91
O000438,P0078,1,1213.43
O000439,P0001,2,4605.63
O000440,P0095,1,2895.86
O000440,P0104,1,523.37
O000441,P0131,2,556.96
O000442,P0061,2,2436.3
O000443,P0003,1,554.11
O000444,P0012,1,1425.42
O000445,P0059,1,2105.21
O000446,P0070,1,1884.68
O000447,P0106,1,2014.59
O000447,P0089,2,946.3
O000447,P0008,1,1977.81
O000448,P0037,1,1026.09
O000449,P0053,2,3722.35
O000450,P0109,2,2782.32
O000450,P0130,1,4744.59
O000451,P0078,3,1310.89
O000452,P0032,1,4220.13
O000453,P0074,1,2716.08
O000454,P0147,3,807.47
O000454,P0111,2,1074.32
O000454,P0087,2,709.68
O000455,P0035,2,373.66
O000455,P0091,1,10520.29
O000456,P0018,2,1191.73
O000456,P0081,3,992.38
O000456,P0074,2,2712.36
O000456,P0027,2,1215.44
O000457,P0054,1,2299.06
O000457,P0081,1,934.02
O000458,P0079,2,4144.41
O000458,P0125,1,3308.11
O000459,P0062,2,2605.4
O000460,P0027,4,1272.92
O000460,P0096,1,1367.78
O000460,P0094,4,7755.67
O000461,P0069,1,1374.63
O000461,P0038,3,568.87
O000462,P0136,1,2142.09
O000463,P0011,2,471.85
O000463,P0133,1,543.36
O000463,P0058,1,1490.09
O000464,P0010,2,879.68
O000465,P0049,1,1606.5
O000466,P0143,4,2939.16
O000467,P0108,1,3622.04
O000468,P0081,3,977.61
O000469,P0098,1,3727.93
O000470,P0045,1,679.47
O000470,P0019,1,973.97
O000470,P0112,4,1613.49
O000471,P0057,2,1223.36
O000472,P0117,3,3308.61
O000472,P0015,2,1901.11
O000473,P0098,1,3238.06
O000473,P0105,1,1344.55
O000474,P0050,3,1584.5
O000475,P0005,3,1539.47
O000476,P0146,3,395.51
O000477,P0126,1,538.45
O000477,P0146,1,409.71
O000478,P0019,1,939.73
O000478,P0012,1,1475.21
O000479,P0030,1,5103.56
O000480,P0070,1,2147.0
O000481,P0072,1,2625.74
O000482,P0081,1,886.11
O000483,P0049,1,1466.07
O000483,P0149,2,860.71
O000483,P0004,2,425.66
O000484,P0088,1,1229.35
O000484,P0081,1,893.89
O000485,P0096,2,1372.75
O000486,P0062,1,2518.32
O000486,P0034,1,457.28
O000487,P0012,3,1355.2
O000488,P0006,1,1549.31
O000489,P0150,2,1485.38
O000490,P0103,1,156.94
O000491,P0118,2,2482.07
O000492,P0009,3,878.65
O000492,P0064,1,3085.4
O000492,P0132,1,2662.0
O000493,P0023,3,945.61
O000494,P0033,3,3068.25
O000495,P0104,2,541.86
O000496,P0142,2,2802.62
O000496,P0004,3,421.27
O000497,P0063,1,706.25
O000498,P0071,2,311.3
O000498,P0109,1,2844.94
O000499,P0016,1,1973.03
O000500,P0047,2,2592.09
O000500,P0086,1,3891.65
O000501,P0036,1,2197.65
O000502,P0132,1,2663.57
O000503,P0022,1,860.33
O000504,P0095,1,2766.09
O000505,P0141,1,3204.38
O000506,P0057,1,1265.61
O000506,P0131,2,561.51
O000507,P0116,1,2281.21
O000507,P0050,2,1510.48
O000508,P0014,1,2775.95
O000508,P0066,1,1731.43
O000508,P0129,1,1437.42
O000509,P0131,1,559.74
O000509,P0092,1,329.36
O000510,P0143,2,2828.48
O000510,P0104,4,506.13
O000511,P0077,2,1155.47
O000511,P0100,2,419.94
O000512,P0072,1,2874.98
O000513,P0082,4,424.65
O000514,P0055,2,1616.32
O000515,P0065,1,255.5
O000515,P0044,1,1397.18
O000516,P0034,2,467.11
O000516,P0015,1,2175.9
O000517,P0054,2,2344.06
O000518,P0038,1,574.19
O000519,P0110,2,1225.19
O000520,P0012,2,1438.73
O000520,P0032,2,4307.12
O000521,P0112,2,1851.35
O000522,P0121,1,1917.98
O000522,P0089,1,876.39
O000523,P0110,1,1224.94
O000523,P0053,3,3449.34
O000523,P0085,2,918.5
O000524,P0065,3,260.09
O000524,P0021,2,2005.11
O000525,P0070,4,2056.91
O000526,P0027,1,1338.96
O000526,P0046,2,2386.71
O000526,P0013,1,485.72
O000527,P0030,2,5225.42
O000528,P0037,3,923.24
O000529,P0150,3,1669.14
O000529,P0059,4,2189.66
O000530,P0082,3,383.92
O000531,P0150,2,1683.45
O000532,P0135,1,415.69
O000532,P0030,2,4839.35
O000533,P0101,2,999.39
O000534,P0093,1,2121.69
O000535,P0080,1,585.44
O000535,P0093,1,1966.95
O000536,P0080,3,526.37
O000537,P0127,1,666.59
O000538,P0067,1,1352.08
O000539,P0074,1,2791.14
O000540,P0110,1,1195.86
O000541,P0105,2,1392.46
O000542,P0045,3,691.57
O000542,P0072,2,2951.68
O000542,P0093,1,1961.13
O000543,P0007,1,3242.92
O000543,P0007,1,3042.73
O000543,P0116,1,2146.35
O000544,P0098,1,3601.47
O000544,P0050,1,1586.31
O000545,P0032,1,4046.32
O000546,P0131,2,571.16
O000547,P0026,1,713.72
O000547,P0048,1,1584.61
O000548,P0045,2,680.27
O000549,P0099,2,2600.81
O000549,P0029,2,587.97
O000549,P0094,2,8517.05
O000550,P0021,1,1974.33
O000550,P0045,1,666.28
O000551,P0011,1,518.07
O000552,P0042,1,867.99
O000553,P0067,1,1295.59
O000553,P0141,3,3143.87
O000554,P0028,1,2759.2
O000555,P0099,2,2519.38
O000556,P0145,1,414.81
O000556,P0073,4,1010.77
O000557,P0111,1,1115.19
O000557,P0004,2,437.29
O000558,P0108,1,3661.14
O000559,P0037,1,938.76
O000560,P0143,3,2932.79
O000561,P0122,2,1163.53
O000561,P0083,2,1487.7
O000562,P0054,2,2334.08
O000562,P0048,2,1639.46
O000563,P0067,1,1274.66
O000564,P0071,2,333.26
O000564,P0095,1,2913.69
O000565,P0024,1,2133.11
O000566,P0112,1,1744.2
O000567,P0080,3,542.86
O000568,P0030,1,4911.05
O000568,P0080,3,513.16
O000568,P0079,2,4332.07
O000569,P0027,1,1337.38
O000569,P0059,1,2136.61
O000570,P0011,1,458.06
O000571,P0083,3,1519.36
O000571,P0139,1,694.52
O000571,P0128,1,713.68
O000572,P0116,2,2239.12
O000572,P0092,2,369.28
O000573,P0036,1,2307.03
O000573,P0011,2,498.05
O000574,P0019,1,965.05
O000575,P0112,2,1606.47
O000575,P0125,1,3554.67
O000576,P0024,2,2035.79
O000577,P0051,2,722.28
O000578,P0142,1,3035.92
O000579,P0116,2,2197.7
O000580,P0146,3,402.45
O000581,P0019,3,987.92
O000582,P0117,1,3756.86
O000582,P0020,1,1361.11
O000582,P0133,2,497.54
O000583,P0022,3,867.87
O000584,P0026,1,765.5
O000585,P0112,1,1723.17
O000586,P0085,1,952.57
O000587,P0094,1,8326.18
O000587,P0147,3,843.74
O000588,P0065,1,229.26
O000589,P0037,1,923.09
O000590,P0130,2,5500.21
O000591,P0093,1,1965.73
O000591,P0117,2,3516.02
O000591,P0145,1,440.83
O000592,P0130,2,4843.81
O000593,P0132,4,2742.99
O000594,P0101,1,970.97
O000594,P0133,4,499.18
O000595,P0123,4,3833.93
O000596,P0113,1,1364.22
O000597,P0097,1,562.11
O000598,P0070,3,1996.63
O000599,P0041,1,708.52
O000600,P0127,1,660.08
O000601,P0014,3,2606.95
O000601,P0030,1,5075.8
O000602,P0058,3,1561.14
O000603,P0029,1,645.37
O000603,P0071,2,339.25
O000604,P0129,1,1597.52
O000605,P0100,2,410.9
O000606,P0042,1,859.55
O000607,P0081,2,975.85
O000608,P0082,1,425.85
O000608,P0105,3,1373.31
O000609,P0129,1,1392.94
O000609,P0057,3,1176.28
O000610,P0011,1,457.69
O000611,P0028,2,2398.08
O000612,P0137,1,2404.31
O000613,P0097,2,548.32
O000614,P0120,1,3836.07
O000615,P0139,1,715.62
O000616,P0073,2,916.61
O000616,P0103,1,150.68
O000617,P0091,1,10001.84
O000618,P0137,1,2549.43
O000619,P0061,1,2561.34
O000619,P0058,1,1424.08
O000620,P0117,2,3318.92
O000621,P0079,2,4462.86
O000621,P0019,1,904.37
O000621,P0104,2,501.14
O000622,P0030,1,4839.58
O000623,P0091,2,9865.82
O000623,P0139,1,683.05
O000624,P0093,1,2138.65
O000625,P0139,1,666.62
O000625,P0106,1,2131.02
O000626,P0043,1,158.14
O000627,P0021,2,1960.46
O000627,P0135,1,376.62
O000628,P0054,1,2139.15
O000628,P0116,3,2080.26
O000629,P0002,3,2298.53
O000630,P0018,1,1235.41
O000631,P0104,2,549.37
O000632,P0001,2,5030.75
O000633,P0147,2,730.36
O000633,P0096,1,1306.7
O000634,P0078,1,1248.86
O000634,P0070,2,1903.85
O000635,P0070,2,1995.56
O000635,P0082,1,391.6
O000636,P0123,2,4186.88
O000636,P0090,1,938.47
O000637,P0113,2,1264.85
O000637,P0066,3,1710.15
O000638,P0023,1,941.01
O000638,P0079,1,4365.3
O000639,P0064,1,3222.39
O000639,P0051,2,761.46
O000640,P0040,1,551.06
O000641,P0094,3,8162.75
O000642,P0105,1,1332.89
O000643,P0123,1,3756.83
O000643,P0079,2,4525.71
O000643,P0024,1,2168.9
