order_id,customer_id,order_date,payment_method,status
O000054,C01175,2025-04-18,UPI,Delivered
O000055,C01185,2025-11-03,UPI,Returned
O000056,C00230,2025-02-07,Credit Card,Delivered
O000057,C01946,2025-12-15,Debit Card,Delivered
O000058,C03985,2025-10-03,Debit Card,Delivered
O000059,C01205,2025-01-10,Credit Card,Delivered
O000060,C00846,2025-01-26,Debit Card,Delivered
O000061,C03789,2025-02-17,COD,Returned
O000062,C00427,2025-12-13,COD,Delivered
O000063,C03154,2025-01-14,Net Banking,Delivered
O000064,C01428,2025-04-10,COD,Delivered
O000065,C00478,2025-07-06,UPI,Cancelled
O000066,C01955,2025-01-12,UPI,Delivered
O000067,C01057,2025-10-06,COD,Cancelled
O000068,C04846,2025-12-07,UPI,Delivered
O000069,C02641,2025-11-24,Net Banking,Delivered
O000070,C02915,2025-06-16,Credit Card,Delivered
O000071,C03532,2025-05-02,COD,Delivered
O000072,C00514,2025-04-05,Debit Card,Delivered
O000073,C03490,2025-01-25,UPI,Delivered
O000074,C04428,2025-01-17,UPI,Delivered
O000075,C01440,2025-01-29,UPI,Delivered
O000076,C00533,2025-11-19,Debit Card,Delivered
O000077,C02053,2025-12-07,UPI,Delivered
O000078,C03927,2025-11-09,COD,Delivered
O000079,C04400,2025-03-13,Credit Card,Returned
O000080,C02912,2025-09-27,Credit Card,Delivered
O000081,C03269,2025-09-07,Net Banking,Delivered
O000082,C01278,2025-10-22,Net Banking,Delivered
O000083,C00867,2025-05-24,Debit Card,Delivered
O000084,C02886,2025-10-01,COD,Delivered
O000085,C02054,2025-08-11,Credit Card,Delivered
O000086,C04238,2025-03-16,COD,Delivered
O000087,C04471,2025-04-12,Credit Card,Delivered
O000088,C01707,2025-01-20,Debit Card,Delivered
O000089,C02157,2025-04-27,UPI,Delivered
O000090,C02258,2025-06-23,Net Banking,Returned
O000091,C01226,2025-06-22,UPI,Delivered
O000092,C01434,2025-01-04,Debit Card,Delivered
O000093,C02050,2025-12-06,UPI,Delivered
O000094,C01822,2025-05-28,COD,Delivered
O000095,C02791,2025-04-24,UPI,Delivered
O000096,C02814,2025-11-17,Credit Card,Delivered
O000097,C01135,2025-06-16,Credit Card,Delivered
O000098,C01977,2025-10-27,Credit Card,Delivered
O000099,C01257,2025-04-28,UPI,Cancelled
O000100,C02235,2025-04-10,Credit Card,Delivered
O000101,C03014,2025-10-01,UPI,Delivered
O000102,C04984,2025-06-24,UPI,Delivered
O000103,C04307,2025-06-08,Debit Card,Delivered
O000104,C02370,2025-08-15,Credit Card,Delivered
O000105,C00207,2025-02-07,Credit Card,Delivered
O000106,C03979,2025-07-17,COD,Delivered
O000107,C01114,2025-05-16,UPI,Delivered
O000108,C04161,2025-04-14,Credit Card,Delivered
O000109,C01023,2025-07-12,Credit Card,Delivered
O000110,C02525,2025-09-07,Credit Card,Delivered
O000111,C01465,2025-01-13,Net Banking,Delivered
O000112,C00370,2025-02-24,Credit Card,Delivered
O000113,C02721,2025-12-10,Net Banking,Delivered
O000114,C02702,2025-03-26,Net Banking,Delivered
O000115,C04528,2025-04-19,UPI,Delivered
O000116,C02287,2025-02-12,COD,Delivered
O000117,C04389,2025-03-12,Debit Card,Delivered
O000118,C01842,2025-09-25,Credit Card,Delivered
O000119,C04797,2025-02-28,Net Banking,Delivered
O000120,C00325,2025-02-13,UPI,Delivered
O000121,C04526,2025-09-29,Net Banking,Delivered
O000122,C04450,2025-01-14,Credit Card,Cancelled
O000123,C01679,2025-04-22,Credit Card,Delivered
O000124,C01520,2025-11-10,Credit Card,Delivered
O000125,C04389,2025-08-16,Debit Card,Delivered
O000126,C02843,2025-06-18,UPI,Delivered
O000127,C02672,2025-10-18,UPI,Delivered
O000128,C01281,2025-09-03,COD,Delivered
O000129,C04477,2025-09-23,COD,Delivered
O000130,C00225,2025-12-03,Debit Card,Delivered
O000131,C00903,2025-08-31,Credit Card,Delivered
O000132,C04767,2025-06-07,UPI,Delivered
O000133,C00607,2025-10-27,Credit Card,Delivered
O000134,C04539,2025-11-23,UPI,Cancelled
O000135,C04278,2025-01-18,Credit Card,Delivered
O000136,C03572,2025-03-24,Debit Card,Delivered
O000137,C00442,2025-12-01,UPI,Delivered
O000138,C02656,2025-08-19,Net Banking,Delivered
O000139,C04363,2025-12-08,COD,Delivered
O000140,C03607,2025-09-10,Credit Card,Cancelled
O000141,C02978,2025-06-16,UPI,Returned
O000142,C00801,2025-02-11,COD,Delivered
O000143,C02513,2025-09-06,Debit Card,Delivered
O000144,C00993,2025-09-05,UPI,Delivered
O000145,C02180,2025-10-13,COD,Returned
O000146,C00925,2025-01-20,UPI,Delivered
O000147,C02026,2025-12-18,Credit Card,Returned
O000148,C01775,2025-02-11,Debit Card,Delivered
O000149,C04971,2025-12-11,UPI,Delivered
O000150,C02151,2025-03-28,UPI,Delivered
O000151,C04778,2025-09-18,UPI,Delivered
O000152,C03027,2025-11-02,COD,Delivered
O000153,C03257,2025-10-24,Credit Card,Delivered
O000154,C02114,2025-12-16,UPI,Cancelled
O000155,C02183,2025-08-28,Debit Card,Delivered
O000156,C04153,2025-06-16,UPI,Delivered
O000157,C00790,2025-11-09,UPI,Delivered
O000158,C00694,2025-08-07,Debit Card,Delivered
O000159,C01684,2025-05-13,UPI,Delivered
O000160,C03908,2025-07-26,Debit Card,Delivered
O000161,C02947,2025-02-20,UPI,Delivered
O000162,C04562,2025-04-16,UPI,Returned
O000163,C01024,2025-07-03,Net Banking,Delivered
O000164,C01466,2025-07-20,Credit Card,Delivered
O000165,C00027,2025-01-11,Net Banking,Delivered
O000166,C00772,2025-09-11,COD,Delivered
O000167,C04315,2025-05-30,UPI,Delivered
O000168,C03804,2025-12-20,UPI,Delivered
O000169,C01878,2025-12-21,COD,Delivered
O000170,C01194,2025-04-06,UPI,Delivered
O000171,C01437,2025-04-16,Credit Card,Cancelled
O000172,C01616,2025-05-23,Net Banking,Delivered
O000173,C02467,2025-06-15,UPI,Delivered
O000174,C03859,2025-01-01,Debit Card,Delivered
O000175,C03188,2025-02-15,Net Banking,Returned
O000176,C01999,2025-08-30,Credit Card,Delivered
O000177,C03017,2025-12-10,Credit Card,Delivered
O000178,C02509,2025-10-05,UPI,Returned
O000179,C01003,2025-01-03,Debit Card,Delivered
O000180,C00149,2025-05-22,UPI,Delivered
O000181,C01902,2025-03-02,UPI,Delivered
O000182,C02241,2025-10-21,Credit Card,Delivered
O000183,C03305,2025-08-13,UPI,Delivered
O000184,C01741,2025-10-29,Credit Card,Delivered
O000185,C04258,2025-06-19,COD,Delivered
O000186,C03024,2025-05-14,Credit Card,Delivered
O000187,C04649,2025-02-10,Debit Card,Delivered
O000188,C04417,2025-08-19,Debit Card,Delivered
O000189,C00380,2025-08-14,COD,Delivered
O000190,C02811,2025-05-19,UPI,Delivered
O000191,C01814,2025-04-20,UPI,Delivered
O000192,C00701,2025-10-24,Debit Card,Delivered
O000193,C01150,2025-02-26,Net Banking,Delivered
O000194,C00581,2025-05-03,Debit Card,Delivered
O000195,C01546,2025-08-28,UPI,Cancelled
O000196,C04035,2025-03-27,Debit Card,Delivered
O000197,C01270,2025-06-25,Debit Card,Delivered
O000198,C00412,2025-03-04,Credit Card,Delivered
O000199,C01797,2025-02-08,Credit Card,Delivered
O000200,C02604,2025-05-18,Debit Card,Delivered
O000201,C04445,2025-08-29,UPI,Delivered
O000202,C01821,2025-08-14,UPI,Delivered
O000203,C01486,2025-07-25,Debit Card,Delivered
O000204,C01316,2025-06-13,UPI,Delivered
O000205,C03363,2025-01-27,Debit Card,Delivered
O000206,C04465,2025-07-02,Debit Card,Cancelled
O000207,C01296,2025-07-17,UPI,Returned
O000208,C02192,2025-12-03,UPI,Delivered
O000209,C01577,2025-04-17,UPI,Returned
O000210,C04616,2025-07-08,UPI,Delivered
O000211,C01334,2025-02-05,UPI,Delivered
O000212,C02424,2025-03-26,Debit Card,Delivered
O000213,C02825,2025-06-04,Credit Card,Delivered
O000214,C03046,2025-06-18,Credit Card,Delivered
O000215,C03266,2025-10-11,UPI,Returned
O000216,C00511,2025-09-29,Debit Card,Delivered
O000217,C02369,2025-02-04,COD,Delivered
O000218,C01500,2025-07-03,Debit Card,Delivered
O000219,C00856,2025-04-09,Credit Card,Cancelled
O000220,C01951,2025-08-25,Credit Card,Delivered
O000221,C04028,2025-05-02,COD,Delivered
O000222,C03317,2025-01-23,Credit Card,Delivered
O000223,C00587,2025-03-04,Debit Card,Delivered
O000224,C00362,2025-11-22,Debit Card,Delivered
O000225,C01673,2025-05-30,Debit Card,Cancelled
O000226,C04812,2025-07-14,UPI,Delivered
O000227,C01007,2025-03-21,Debit Card,Delivered
O000228,C04669,2025-11-11,Debit Card,Delivered
O000229,C04048,2025-06-02,Debit Card,Delivered
O000230,C03334,2025-01-17,Debit Card,Delivered
O000231,C04397,2025-02-08,Net Banking,Cancelled
O000232,C02597,2025-11-29,COD,Delivered
O000233,C01882,2025-12-14,UPI,Delivered
O000234,C03273,2025-07-21,COD,Delivered
O000235,C04710,2025-10-07,UPI,Delivered
O000236,C04067,2025-03-29,UPI,Delivered
O000237,C03993,2025-10-27,UPI,Delivered
O000238,C02610,2025-10-19,Credit Card,Delivered
O000239,C04604,2025-12-21,Credit Card,Delivered
O000240,C00891,2025-03-11,Net Banking,Delivered
O000241,C02847,2025-05-04,Credit Card,Delivered
O000242,C01696,2025-03-21,Net Banking,Delivered
O000243,C04979,2025-02-14,COD,Delivered
O000244,C00816,2025-08-21,UPI,Delivered
O000245,C00499,2025-06-03,UPI,Delivered
O000246,C01681,2025-06-29,UPI,Delivered
O000247,C03261,2025-01-31,COD,Cancelled
O000248,C01337,2025-03-26,Net Banking,Delivered
O000249,C04550,2025-02-14,Credit Card,Delivered
O000250,C00249,2025-11-19,UPI,Returned
O000251,C01697,2025-11-28,UPI,Delivered
O000252,C00659,2025-08-31,COD,Delivered
O000253,C04771,2025-02-09,UPI,Delivered
O000254,C00689,2025-07-01,Debit Card,Delivered
O000255,C02278,2025-10-24,Debit Card,Delivered
O000256,C01700,2025-03-22,UPI,Delivered
O000257,C00224,2025-02-07,Credit Card,Delivered
O000258,C01760,2025-12-22,Debit Card,Delivered
O000259,C03816,2025-02-26,UPI,Delivered
O000260,C00054,2025-11-18,Net Banking,Delivered
O000261,C00700,2025-01-30,Credit Card,Delivered
O000262,C00586,2025-09-23,UPI,Delivered
O000263,C03372,2025-08-15,Credit Card,Delivered
O000264,C04385,2025-11-13,UPI,Delivered
O000265,C01452,2025-10-19,Net Banking,Cancelled
O000266,C00311,2025-02-23,COD,Delivered
O000267,C02506,2025-04-07,Debit Card,Delivered
O000268,C01123,2025-01-04,UPI,Delivered
O000269,C00342,2025-11-06,COD,Delivered
O000270,C04659,2025-04-01,UPI,Returned
O000271,C00983,2025-03-30,UPI,Delivered
O000272,C03719,2025-11-16,COD,Delivered
O000273,C03797,2025-04-02,Debit Card,Cancelled
O000274,C01409,2025-05-30,Credit Card,Delivered
O000275,C00457,2025-08-22,Credit Card,Delivered
O000276,C01650,2025-12-03,Debit Card,Delivered
O000277,C01711,2025-02-28,Debit Card,Delivered
O000278,C01583,2025-07-04,UPI,Delivered
O000279,C00365,2025-02-13,UPI,Delivered
O000280,C01169,2025-06-29,Credit Card,Delivered
O000281,C00145,2025-03-17,Debit Card,Delivered
O000282,C01067,2025-05-24,UPI,Delivered
O000283,C00972,2025-04-11,COD,Delivered
O000284,C01577,2025-09-29,UPI,Delivered
O000285,C04225,2025-02-24,UPI,Delivered
O000286,C04154,2025-07-08,Credit Card,Delivered
O000287,C04150,2025-12-17,UPI,Delivered
O000288,C01248,2025-12-01,Credit Card,Returned
O000289,C03787,2025-03-18,UPI,Delivered
O000290,C00133,2025-10-23,Credit Card,Delivered
O000291,C03646,2025-08-07,Debit Card,Delivered
O000292,C01267,2025-10-04,UPI,Delivered
O000293,C00210,2025-03-07,COD,Delivered
O000294,C04338,2025-05-16,UPI,Delivered
O000295,C03282,2025-08-22,UPI,Delivered
O000296,C03316,2025-07-18,Credit Card,Delivered
O000297,C00814,2025-09-23,Net Banking,Delivered
O000298,C03521,2025-02-12,Credit Card,Cancelled
O000299,C03450,2025-12-27,Debit Card,Cancelled
O000300,C02132,2025-08-16,UPI,Delivered
O000301,C01449,2025-08-15,UPI,Delivered
O000302,C01696,2025-03-04,UPI,Returned
O000303,C01510,2025-06-20,UPI,Delivered
O000304,C01959,2025-09-07,UPI,Delivered
O000305,C02137,2025-12-04,Credit Card,Cancelled
O000306,C03056,2025-09-07,Net Banking,Delivered
O000307,C04275,2025-11-03,Credit Card,Returned
O000308,C01229,2025-08-26,UPI,Delivered
O000309,C01555,2025-02-25,Debit Card,Delivered
O000310,C02563,2025-06-20,Credit Card,Delivered
O000311,C04212,2025-02-03,UPI,Delivered
O000312,C03419,2025-11-11,UPI,Cancelled
O000313,C02449,2025-05-10,UPI,Delivered
O000314,C04395,2025-05-10,Credit Card,Delivered
O000315,C04765,2025-05-31,Net Banking,Delivered
O000316,C04606,2025-05-23,UPI,Delivered
O000317,C03180,2025-04-28,UPI,Delivered
O000318,C03884,2025-07-23,UPI,Delivered
O000319,C01008,2025-08-23,Credit Card,Delivered
O000320,C00540,2025-01-17,COD,Delivered
O000321,C00212,2025-03-23,Credit Card,Delivered
O000322,C04071,2025-01-14,Net Banking,Delivered
O000323,C03894,2025-03-22,UPI,Delivered
O000324,C01394,2025-07-26,COD,Delivered
O000325,C02780,2025-07-23,Debit Card,Cancelled
O000326,C02577,2025-09-29,UPI,Cancelled
O000327,C01264,2025-02-01,Debit Card,Delivered
O000328,C03474,2025-01-23,COD,Delivered
O000329,C01013,2025-04-12,UPI,Delivered
O000330,C00796,2025-06-11,Net Banking,Delivered
O000331,C01204,2025-04-08,Credit Card,Delivered
O000332,C03344,2025-05-24,Debit Card,Delivered
O000333,C04181,2025-04-14,UPI,Delivered
O000334,C03373,2025-11-20,Debit Card,Delivered
O000335,C00421,2025-06-20,Net Banking,Delivered
O000336,C02258,2025-03-05,Credit Card,Delivered
O000337,C00062,2025-09-01,Debit Card,Delivered
O000338,C04101,2025-03-12,Credit Card,Delivered
O000339,C04592,2025-10-01,Net Banking,Delivered
O000340,C03179,2025-05-05,UPI,Delivered
O000341,C01547,2025-11-13,UPI,Returned
O000342,C01751,2025-11-27,Debit Card,Delivered
O000343,C00731,2025-04-17,Debit Card,Delivered
O000344,C00179,2025-05-28,UPI,Returned
O000345,C00529,2025-07-11,Debit Card,Delivered
O000346,C01411,2025-12-03,UPI,Delivered
O000347,C02600,2025-08-14,COD,Delivered
O000348,C00336,2025-08-30,Net Banking,Returned
O000349,C02636,2025-12-28,UPI,Delivered
O000350,C04854,2025-10-11,Credit Card,Cancelled
O000351,C01075,2025-06-12,Net Banking,Delivered
O000352,C04737,2025-01-08,Credit Card,Delivered
O000353,C04817,2025-12-13,COD,Delivered
O000354,C00211,2025-06-01,Credit Card,Delivered
O000355,C01668,2025-11-18,COD,Returned
O000356,C01455,2025-04-05,UPI,Delivered
O000357,C04145,2025-08-02,Credit Card,Cancelled
O000358,C00441,2025-03-05,COD,Delivered
O000359,C00551,2025-03-06,Debit Card,Delivered
O000360,C00452,2025-09-27,UPI,Delivered
O000361,C03217,2025-01-25,Debit Card,Delivered
O000362,C00655,2025-04-10,Credit Card,Delivered
O000363,C04343,2025-04-15,Debit Card,Returned
O000364,C00668,2025-05-11,UPI,Delivered
O000365,C02438,2025-11-17,Credit Card,Delivered
O000366,C02001,2025-01-19,UPI,Delivered
O000367,C04377,2025-08-13,UPI,Delivered
O000368,C03623,2025-04-16,UPI,Delivered
O000369,C04241,2025-02-23,Debit Card,Delivered
O000370,C02511,2025-08-14,Net Banking,Delivered
O000371,C04917,2025-12-26,Credit Card,Delivered
O000372,C01394,2025-01-15,UPI,Delivered
O000373,C01556,2025-02-17,Net Banking,Delivered
O000374,C03415,2025-05-19,Net Banking,Delivered
O000375,C03390,2025-02-03,UPI,Cancelled
O000376,C01895,2025-12-21,Credit Card,Delivered
O000377,C04364,2025-07-29,Credit Card,Delivered
O000378,C03027,2025-01-19,Net Banking,Delivered
O000379,C00912,2025-07-15,Debit Card,Delivered
O000380,C04098,2025-11-22,Credit Card,Delivered
O000381,C00972,2025-04-25,Credit Card,Delivered
O000382,C00117,2025-12-18,Credit Card,Delivered
O000383,C03848,2025-03-16,UPI,Delivered
O000384,C00437,2025-05-30,Net Banking,Delivered
O000385,C03288,2025-02-05,UPI,Delivered
O000386,C01585,2025-08-30,Debit Card,Delivered
O000387,C04313,2025-05-31,UPI,Delivered
O000388,C04667,2025-03-04,Credit Card,Delivered
O000389,C01596,2025-06-03,UPI,Delivered
O000390,C02126,2025-07-07,Credit Card,Delivered
O000391,C03191,2025-08-11,COD,Delivered
O000392,C03940,2025-04-03,Debit Card,Delivered
O000393,C01343,2025-01-05,Credit Card,Delivered
O000394,C01663,2025-06-15,COD,Cancelled
O000395,C03279,2025-01-25,UPI,Delivered
O000396,C03744,2025-04-08,UPI,Delivered
O000397,C02645,2025-09-25,Debit Card,Delivered
O000398,C03076,2025-05-30,COD,Delivered
O000399,C00669,2025-09-09,Debit Card,Delivered
O000400,C02358,2025-03-25,Credit Card,Delivered
O000401,C01941,2025-10-12,UPI,Delivered
O000402,C03152,2025-06-21,Credit Card,Delivered
O000403,C04140,2025-08-09,Debit Card,Delivered
O000404,C00453,2025-04-19,UPI,Delivered
O000405,C01008,2025-01-27,Net Banking,Cancelled
O000406,C04826,2025-09-03,Debit Card,Delivered
O000407,C01223,2025-02-24,Credit Card,Delivered
O000408,C03280,2025-05-13,UPI,Delivered
O000409,C00194,2025-02-21,Credit Card,Delivered
O000410,C01036,2025-09-10,UPI,Delivered
O000411,C01150,2025-09-26,Credit Card,Delivered
O000412,C00440,2025-10-25,Debit Card,Delivered
O000413,C00732,2025-03-20,UPI,Delivered
O000414,C04398,2025-01-18,Net Banking,Delivered
O000415,C03656,2025-11-02,Net Banking,Delivered
O000416,C04217,2025-09-15,UPI,Delivered
O000417,C00786,2025-12-09,UPI,Cancelled
O000418,C02603,2025-04-17,UPI,Delivered
O000419,C04304,2025-02-16,Credit Card,Delivered
O000420,C04310,2025-09-03,Debit Card,Delivered
O000421,C01359,2025-03-30,Credit Card,Delivered
O000422,C02125,2025-07-22,Credit Card,Delivered
O000423,C01174,2025-08-28,UPI,Delivered
O000424,C02620,2025-09-25,UPI,Delivered
O000425,C00213,2025-01-13,UPI,Delivered
O000426,C04594,2025-05-17,Credit Card,Delivered
O000427,C04801,2025-11-11,UPI,Delivered
O000428,C00029,2025-06-22,Credit Card,Delivered
O000429,C02945,2025-08-18,Debit Card,Delivered
O000430,C03964,2025-07-17,UPI,Delivered
O000431,C00789,2025-08-31,Credit Card,Delivered
O000432,C02254,2025-02-12,Debit Card,Delivered
O000433,C03740,2025-11-26,Net Banking,Cancelled
O000434,C01003,2025-10-06,UPI,Delivered
O000435,C02675,2025-03-20,Credit Card,Delivered
O000436,C01250,2025-10-06,UPI,Delivered
O000437,C01624,2025-08-20,UPI,Delivered
O000438,C04407,2025-04-11,Credit Card,Cancelled
O000439,C02639,2025-06-11,COD,Delivered
O000440,C03513,2025-05-24,Net Banking,Cancelled
O000441,C02704,2025-04-19,Credit Card,Delivered
O000442,C00085,2025-08-21,Credit Card,Delivered
O000443,C04867,2025-04-21,Credit Card,Delivered
O000444,C04501,2025-08-20,UPI,Cancelled
O000445,C03115,2025-08-26,Debit Card,Delivered
O000446,C03673,2025-07-16,UPI,Delivered
O000447,C04329,2025-09-30,UPI,Cancelled
O000448,C04604,2025-03-27,UPI,Delivered
O000449,C01374,2025-10-22,Credit Card,Delivered
O000450,C01464,2025-02-10,Debit Card,Delivered
O000451,C01575,2025-02-17,Credit Card,Cancelled
O000452,C03034,2025-03-18,UPI,Delivered
O000453,C04117,2025-06-27,Debit Card,Delivered
O000454,C02093,2025-09-14,Debit Card,Delivered
O000455,C02653,2025-04-27,UPI,Delivered
O000456,C02091,2025-01-19,Debit Card,Delivered
O000457,C03252,2025-02-28,Debit Card,Cancelled
O000458,C00297,2025-07-15,Credit Card,Delivered
O000459,C01131,2025-04-17,Net Banking,Delivered
O000460,C02985,2025-10-11,Debit Card,Delivered
O000461,C00717,2025-02-03,Credit Card,Delivered
O000462,C03984,2025-10-22,Debit Card,Delivered
O000463,C04732,2025-09-08,Credit Card,Cancelled
O000464,C03185,2025-05-06,Debit Card,Delivered
O000465,C04143,2025-12-05,UPI,Delivered
O000466,C01308,2025-04-16,Credit Card,Cancelled
O000467,C04427,2025-06-29,Debit Card,Delivered
O000468,C04332,2025-04-20,UPI,Delivered
O000469,C00862,2025-08-16,Credit Card,Delivered
O000470,C04812,2025-05-01,Credit Card,Delivered
O000471,C02485,2025-04-17,UPI,Delivered
O000472,C01098,2025-05-11,UPI,Delivered
O000473,C00571,2025-01-23,Net Banking,Delivered
O000474,C01315,2025-05-25,COD,Delivered
O000475,C00948,2025-11-23,UPI,Delivered
O000476,C04154,2025-06-03,COD,Delivered
O000477,C04596,2025-04-17,UPI,Delivered
O000478,C00731,2025-05-26,UPI,Delivered
O000479,C02844,2025-09-09,UPI,Delivered
O000480,C04578,2025-10-29,Debit Card,Delivered
O000481,C00326,2025-03-11,Debit Card,Delivered
O000482,C04327,2025-01-31,UPI,Delivered
O000483,C03930,2025-04-03,COD,Delivered
O000484,C03236,2025-05-17,UPI,Delivered
O000485,C01384,2025-06-12,Credit Card,Delivered
O000486,C03282,2025-03-22,Debit Card,Delivered
O000487,C04074,2025-11-12,COD,Delivered
O000488,C00555,2025-03-17,UPI,Delivered
O000489,C02471,2025-03-04,UPI,Delivered
O000490,C03205,2025-04-10,Net Banking,Cancelled
O000491,C00203,2025-02-17,Credit Card,Delivered
O000492,C04786,2025-03-15,UPI,Delivered
O000493,C04880,2025-11-10,UPI,Delivered
O000494,C01588,2025-07-11,Debit Card,Delivered
O000495,C00453,2025-01-30,UPI,Delivered
O000496,C03075,2025-06-06,Debit Card,Delivered
O000497,C01113,2025-09-23,Credit Card,Delivered
O000498,C01075,2025-09-13,Debit Card,Cancelled
O000499,C03525,2025-02-08,Debit Card,Delivered
O000500,C04768,2025-02-24,Debit Card,Cancelled
O000501,C00480,2025-01-28,Credit Card,Delivered
O000502,C03205,2025-04-28,COD,Delivered
O000503,C03319,2025-07-28,UPI,Delivered
O000504,C02934,2025-03-16,UPI,Delivered
O000505,C03795,2025-03-06,Credit Card,Delivered
O000506,C02444,2025-12-03,UPI,Delivered
O000507,C04255,2025-12-22,Credit Card,Delivered
O000508,C02513,2025-04-10,UPI,Delivered
O000509,C01174,2025-02-15,UPI,Delivered
O000510,C03062,2025-11-12,COD,Delivered
O000511,C04655,2025-06-05,UPI,Delivered
O000512,C01897,2025-08-28,UPI,Delivered
O000513,C02295,2025-12-19,UPI,Delivered
O000514,C02747,2025-09-16,Credit Card,Delivered
O000515,C01356,2025-05-16,UPI,Delivered
O000516,C01195,2025-07-17,UPI,Delivered
O000517,C01499,2025-07-06,UPI,Delivered
O000518,C02890,2025-04-26,COD,Delivered
O000519,C01029,2025-02-27,Debit Card,Delivered
O000520,C00516,2025-03-11,UPI,Delivered
O000521,C04583,2025-04-03,Debit Card,Delivered
O000522,C00898,2025-08-17,Net Banking,Delivered
O000523,C04408,2025-05-17,COD,Delivered
O000524,C01672,2025-04-15,UPI,Delivered
O000525,C02772,2025-11-01,UPI,Cancelled
O000526,C04859,2025-12-05,COD,Delivered
O000527,C03043,2025-01-17,COD,Delivered
O000528,C00694,2025-02-23,UPI,Delivered
O000529,C04846,2025-04-22,UPI,Delivered
O000530,C00159,2025-06-21,Net Banking,Delivered
O000531,C03604,2025-11-01,UPI,Delivered
O000532,C04489,2025-05-24,Debit Card,Cancelled
O000533,C00244,2025-03-26,COD,Delivered
O000534,C03746,2025-01-12,UPI,Delivered
O000535,C04840,2025-09-09,UPI,Delivered
O000536,C02950,2025-08-04,Debit Card,Cancelled
O000537,C00291,2025-05-06,Debit Card,Cancelled
O000538,C00131,2025-04-08,UPI,Delivered
O000539,C01415,2025-10-31,UPI,Returned
O000540,C03406,2025-01-28,COD,Delivered
O000541,C04374,2025-12-02,UPI,Delivered
O000542,C02190,2025-09-23,Credit Card,Delivered
O000543,C03929,2025-02-21,UPI,Delivered
O000544,C03781,2025-05-23,COD,Delivered
O000545,C00393,2025-05-12,Credit Card,Delivered
O000546,C02557,2025-12-12,Credit Card,Delivered
O000547,C04073,2025-07-26,COD,Delivered
O000548,C03174,2025-03-03,Debit Card,Delivered
O000549,C02085,2025-12-29,UPI,Delivered
O000550,C00597,2025-05-12,COD,Delivered
O000551,C02482,2025-02-10,COD,Delivered
O000552,C02544,2025-07-20,UPI,Delivered
O000553,C01560,2025-04-09,UPI,Delivered
O000554,C04988,2025-11-07,UPI,Delivered
O000555,C03054,2025-10-11,UPI,Cancelled
O000556,C03198,2025-12-23,Debit Card,Delivered
O000557,C02353,2025-02-16,UPI,Delivered
O000558,C04352,2025-05-17,UPI,Delivered
O000559,C01416,2025-05-10,Credit Card,Delivered
